RCPT_YR,CGG_CD,CGG_NM,STDG_CD,STDG_NM,LOTNO_SE,LOTNO_SE_NM,MNO,SNO,BLDG_NM,CTRT_DAY,THING_AMT,ARCH_AREA,LAND_AREA,FLR,RGHT_SE,RTRCN_DAY,ARCH_YR,BLDG_USG,DCLR_SE,OPBIZ_RESTAGNT_SGG_NM
2024,11740,강동구,10500,길동,1,대지,0416,0017,다성이즈빌,2024-11-07,37600,33.12,0.000000,17,,,null,아파트,중개거래,서울 강동구
2024,11500,강서구,10600,내발산동,1,대지,0678,0014,마곡더？,2024-11-07,17000,21.3,13.000000,7,,,2018,연립다세대,중개거래,서울 강서구
2024,11560,영등포구,11400,당산동4가,1,대지,0095,0000,당산금호어울림,2024-11-07,123000,84.25,0.000000,12,,,2002,아파트,중개거래,서울 영등포구
2024,11680,강남구,10800,논현동,1,대지,0152,0005,논현동대우아이빌 힐타운,2024-11-07,30920,40.35,53.910000,7,,,2003,오피스텔,중개거래,서울 강남구
2024,11560,영등포구,11500,당산동5가,1,대지,0011,0033,당산디오빌,2024-11-07,44500,38.97,0.000000,9,,,2005,아파트,중개거래,서울 영등포구
2024,11590,동작구,10200,상도동,1,대지,0277,0016,해뜰참가,2024-11-07,55000,59.56,33.000000,3,,,2009,연립다세대,중개거래,서울 동작구
2024,11500,강서구,10200,등촌동,1,대지,0695,0000,주공5,2024-11-07,74950,58.14,0.000000,13,,,1995,아파트,중개거래,서울 강서구
2024,11305,강북구,10100,미아동,3,블럭,0194,0002,엘리프 미아역 1단지,2024-11-07,75791,59.651,0.000000,8,분양권,,0,아파트,직거래,
2024,11560,영등포구,13200,신길동,1,대지,0449,0020,콘펠리체,2024-11-07,16000,14.88,22.430000,13,,,null,오피스텔,중개거래,"서울 동작구, 서울 영등포구"
2024,11230,동대문구,10300,제기동,1,대지,0136,0003,리스트안암,2024-11-07,28850,18.41,0.000000,8,,,2024,아파트,직거래,
2024,11230,동대문구,10300,제기동,1,대지,0136,0003,리스트안암,2024-11-07,28850,18.41,0.000000,8,,,2024,아파트,직거래,
2024,11230,동대문구,10300,제기동,1,대지,0136,0003,리스트안암,2024-11-07,28850,18.41,0.000000,7,,,2024,아파트,직거래,
2024,11230,동대문구,10300,제기동,1,대지,0136,0003,리스트안암,2024-11-07,28850,18.41,0.000000,7,,,2024,아파트,직거래,
2024,11230,동대문구,10300,제기동,1,대지,0136,0003,리스트안암,2024-11-07,28850,18.41,0.000000,7,,,2024,아파트,직거래,
2024,11230,동대문구,10300,제기동,1,대지,0136,0003,리스트안암,2024-11-07,28850,18.41,0.000000,7,,,2024,아파트,직거래,
2024,11230,동대문구,10300,제기동,1,대지,0136,0003,리스트안암,2024-11-07,28850,18.41,0.000000,6,,,2024,아파트,직거래,
2024,11230,동대문구,10300,제기동,1,대지,0136,0003,리스트안암,2024-11-07,28850,18.41,0.000000,6,,,2024,아파트,직거래,
2024,11230,동대문구,10300,제기동,1,대지,0136,0003,리스트안암,2024-11-07,28850,18.41,0.000000,6,,,2024,아파트,직거래,
2024,11230,동대문구,10300,제기동,1,대지,0136,0003,리스트안암,2024-11-07,27950,18.41,0.000000,5,,,2024,아파트,직거래,
2024,11230,동대문구,10300,제기동,1,대지,0136,0003,리스트안암,2024-11-07,29700,18.41,0.000000,18,,,2024,아파트,직거래,
2024,11380,은평구,10700,응암동,1,대지,0110,0001,위산일리온시티,2024-11-07,23100,19.28,0.000000,18,,,2020,아파트,중개거래,서울 은평구
2024,11230,동대문구,10300,제기동,1,대지,0136,0003,리스트안암,2024-11-07,29700,18.41,0.000000,18,,,2024,아파트,직거래,
